Excel Name,Excel Affiliation,Excel Country,Candidate ORCID,API Name,API Affiliation,API Country,Name Score,Affiliation Score,Country Match,Overall Score,Recommendation,Sources
Joana Dias,UNIVERSIDADE DE COIMBRA,Portugal (PT),0000-0001-9106-2079,Joana Dias,,PT,100.0,0,No,40.0,NO_MATCH,ORCID
Joana Dias,UNIVERSIDADE DE COIMBRA,Portugal (PT),0000-0002-1779-1174,Joana  Dias ,,,100.0,0,No,40.0,NO_MATCH,ORCID
Joana Dias,UNIVERSIDADE DE COIMBRA,Portugal (PT),0000-0001-8946-2452,Joana Dias,,PT,100.0,0,No,40.0,NO_MATCH,ORCID
Joana Dias,UNIVERSIDADE DE COIMBRA,Portugal (PT),0000-0002-4898-7073,Joana Dias Pereira,,,71.4,0,No,28.6,NO_MATCH,Crossref
Joana Dias,UNIVERSIDADE DE COIMBRA,Portugal (PT),0000-0002-4513-2715,Joana Angélica Andrade Dias,,,54.1,0,No,21.6,NO_MATCH,OpenAlex
Thomas Ågotnes,University of Bergen,Norway (NO),0000-0003-4151-8028,Thomas Ågotnes,Shanxi University,CN,100.0,74.1,No,65.9,LOW_CONFIDENCE,"ORCID, OpenAlex, Crossref"
Thomas Ågotnes,University of Bergen,Norway (NO),0000-0002-0481-412X,Yiyan Wang,"School of Philosophy, Shanxi University, Taiyuan 030006, China",,33.3,60.0,No,34.3,NO_MATCH,Crossref
Stefano Denicolai,Universita Degli Studi Di Pavia,Italy (IT),0000-0003-3313-6679,Stefano Denicolai,Innovation (Latvia),LV,100.0,48.3,No,56.9,LOW_CONFIDENCE,"ORCID, OpenAlex"
Stefano Denicolai,Universita Degli Studi Di Pavia,Italy (IT),0000-0002-6407-627X,Emanuel Bagna,,,40.0,0,No,16.0,NO_MATCH,Crossref
Andrea Bracciali,Universita degli Studi di Torino,Italy (IT),0000-0001-9140-0891,Andrea Bracciali,University of Florence,IT,100.0,62.9,No,62.0,LOW_CONFIDENCE,"ORCID, OpenAlex, Crossref"
Andrea Bracciali,Universita degli Studi di Torino,Italy (IT),0000-0003-1451-9260,Andrea Bracciali,,,100.0,0,No,40.0,NO_MATCH,"ORCID, OpenAlex"
Andrea Bracciali,Universita degli Studi di Torino,Italy (IT),0000-0001-8558-6079,Gianluca Megna,,,33.3,0,No,13.3,NO_MATCH,Crossref
Paolo Giudici,,,0000-0002-3493-0914,Paolo Giudici,,,100.0,0,No,40.0,NO_MATCH,"ORCID, OpenAlex"
Paolo Giudici,,,0009-0000-4134-1598,Paolo Giudici,,,100.0,0,No,40.0,NO_MATCH,ORCID
Paolo Giudici,,,0000-0003-0015-0087,Paolo Giudici,Azienda Sanitaria Unità Locale di Reggio Emilia,IT,100.0,0,No,40.0,NO_MATCH,"ORCID, OpenAlex"
Paolo Giudici,,,0000-0002-4198-0127,Paolo Giudici,University of Pavia,IT,100.0,0,No,40.0,NO_MATCH,"ORCID, OpenAlex"
Paolo Giudici,,,0009-0004-8787-5252,Paolo Stefano GIUDICI,,,76.5,0,No,30.6,NO_MATCH,ORCID
Paolo Giudici,,,0000-0003-1776-9118,Paolo Stefano Giudici,,,76.5,0,No,30.6,NO_MATCH,ORCID
Ioannis Emiris,"Athena - Research and Innovation Center in Information, Communication and Knowledge Technologies",Greece (EL),0000-0002-2339-5303,Ioannis Z. Emiris,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,GR,90.3,96.3,No,69.8,LOW_CONFIDENCE,"ORCID, OpenAlex"
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0001-7252-0396,Alicia Pelegrina,Universidad de Jaén,,63.4,89.5,No,56.7,LOW_CONFIDENCE,Crossref
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0002-7123-4598,Antonio Sarsa,"Departamento de Física, Campus de Rabanales Edif. C2 Universidad de Córdoba E‐14071 Córdoba Spain",,52.6,60.5,No,42.2,NO_MATCH,Crossref
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0002-5466-8001,Antonio Pelegrina Jimenez,,,100.0,0,No,40.0,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0001-6687-1448, ANTONIO MORENO JIMENEZ,,ES,76.6,0,No,30.6,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0002-6438-2031,Antonio Jimenez-Escrig,,,76.6,0,No,30.6,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0001-8238-3081,Antonio Jimenez-Ruiz,,,75.6,0,No,30.2,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0002-0956-7930,Antonio Jimenez,,,75.0,0,No,30.0,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0001-9236-5194,Antonio Jimenez,,,75.0,0,No,30.0,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0002-3917-3828,Antonio Montañés Jimenez,,GB,73.5,0,No,29.4,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0002-2264-4806,Antonio Jimenez-Mocholi,,ES,70.8,0,No,28.3,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0000-0001-6375-2611,Antonio Jimenez-Munoz,,,69.6,0,No,27.8,NO_MATCH,ORCID
Antonio Pelegrina Jimenez,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Spain (ES),0009-0003-2715-7868,Antonio  Jimenez Fuenmayor,,,60.0,0,No,24.0,NO_MATCH,ORCID
Loizos Michael,Open University of Cyprus,Cyprus (CY),0000-0002-7340-0596,Loizos Michael,,,100.0,0,No,40.0,NO_MATCH,ORCID
Loizos Michael,Open University of Cyprus,Cyprus (CY),0000-0002-6899-9354,Loizos Michael,,,100.0,0,No,40.0,NO_MATCH,ORCID
Loizos Michael,Open University of Cyprus,Cyprus (CY),0009-0009-9896-2761,Michael Loizos Mavrovouniotis,,,65.1,0,No,26.0,NO_MATCH,Crossref
Miroslav Mirchev,Complexity Science Hub Vienna,Austria (AT),0000-0002-5303-5077,Miroslav Mirchev,,,100.0,0,No,40.0,NO_MATCH,ORCID
Miroslav Mirchev,Complexity Science Hub Vienna,Austria (AT),0000-0001-9899-2439,Miroslav Mirchev,,,100.0,0,No,40.0,NO_MATCH,"ORCID, OpenAlex, Crossref"
Miroslav Mirchev,Complexity Science Hub Vienna,Austria (AT),0000-0003-1137-6102,Igor Mishkovski,,,45.2,0,No,18.1,NO_MATCH,Crossref
Miroslav Mirchev,Complexity Science Hub Vienna,Austria (AT),0000-0001-5657-9304,Lasko Basnarkov,,,32.3,0,No,12.9,NO_MATCH,Crossref
Miroslav Mirchev,Complexity Science Hub Vienna,Austria (AT),0000-0002-6885-1050,Qiang Jia,,,32.0,0,No,12.8,NO_MATCH,Crossref
